"Ticks","placeholder","Changers","Stayers"
724,,949379.1111111111,952380.7590589604
725,,952219.1435555556,959105.9267584208
726,,940000,958983.2900342384
727,,940000,959646.887734479
728,,940000,965192.2186258518
729,,944470.2222222222,960235.9016101392
730,,950014.6764444443,966952.1056005502
731,,947815.5140666668,969286.2287479418
732,,940000,959370.4835514409
733,,940000,959288.9496575097
734,,949379.1111111111,951986.7402747073
735,,940000,950386.2997921318
736,,940000,947164.5949669498
737,,949379.1111111111,945852.6572107498
738,,948360.944888889,951097.2634903914
739,,960098.2764671112,947349.1366071632
740,,951118.1140536037,942719.0871317695
741,,944326.2737878427,950668.1772250737
742,,951427.9308502816,942372.4296441351
743,,958943.4475993004,956501.8365267358
744,,958168.829178398,955978.802609308
745,,939986.950639538,953725.5962027757
746,,947402.0625168378,960006.7554998763
747,,954504.7431111112,957621.8934859813
748,,965729.8394448888,952783.0056961273
749,,940000,954398.3715148392
750,,946433.7777777778,961616.9221588622
751,,948662.3715555557,953587.7263859715
752,,951206.7367760002,953284.3390498275
753,,954287.9748652776,959421.0831045147
754,,940000,956317.7170420602
755,,943488.4444444445,944235.8923192597
756,,940000,944291.3279854079
757,,940000,947706.0017356478
758,,940000,943661.6472640731
759,,940000,950274.5790501445
760,,953306.2222222222,947650.379149609
761,,964014.033777778,953664.337697856
762,,940000,948352.7543101656
763,,953306.2222222222,957679.5521468685
764,,958217.8057777777,953086.9530684997
765,,940000,954197.3414739042
766,,947415.5555555555,957338.3677155607
767,,940000,953553.6881291816
768,,940000,953777.2344409458
769,,940000,951247.7746049563
770,,951342.6666666666,949987.6456260283
771,,963446.1693333336,960994.0474520839
772,,961670.1323306666,962203.2535508473
773,,940000,948896.1586591783
774,,947415.5555555555,951256.5620793974
775,,940000,951489.9765279862
776,,947415.5555555555,953346.5897447581
777,,940000,961596.1592714057
778,,950360.8888888889,962532.8463657422
779,,940000,969794.411737998
780,,956251.5555555555,975007.2013943453
781,,957405.0817777778,972616.875693779
782,,940000,957583.9595681123
783,,949379.1111111111,954799.1247089993
784,,954139.312888889,965421.1262011349
785,,957203.525035111,960492.7979648027
786,,940000,965687.3585956319
787,,940000,960489.3786984022
788,,946433.7777777778,966863.4410681233
789,,940000,972076.8280385752
790,,940000,953586.0191598808
791,,951342.6666666666,950498.3326952095
792,,940000,956483.6759154169
793,,945452,955973.7532210328
794,,947171.6359999999,957371.3109177783
795,,944702.5647795554,959978.521861694
796,,951808.2056489246,961506.7114397731
797,,940000,971650.0664190724
798,,952324.4444444445,972239.0714852526
799,,940000,957790.902886636
800,,940000,967237.5365599429
801,,948397.3333333334,955818.9461021529
802,,955062.1840000002,955908.878180952
803,,969008.8549808887,956194.2069888001
804,,940000,956901.0517477585
805,,940000,949621.1983795235
806,,940000,954115.121156549
807,,940000,955919.0857288067
808,,954288,950187.599110201
809,,961646.570666667,964182.6264545065
810,,951666.3665706664,966636.6087151875
811,,940000,960200.43434384
812,,950360.8888888889,962454.9860289041
813,,952265.2871111111,954476.6927748832
814,,940000,956979.1971674209
815,,953306.2222222222,956973.4932129877
816,,957230.9311111112,967998.0736190106
817,,958326.2713751111,969910.4956474149
818,,940000,972141.3291020935
819,,940000,964831.7075841974
820,,943488.4444444445,975552.362131238
821,,948999.5182222223,961682.9272264749
822,,953377.6315155558,955672.4901712163
823,,940000,958926.0452534568
824,,954288,957566.7119179947
825,,940000,961937.9564466688
826,,940000,957364.087515895
827,,952324.4444444445,959740.6475404409
828,,960567.4088888892,967507.5593758798
829,,940000,970134.346436278
830,,940000,966673.4402000746
831,,952324.4444444445,970305.0752896981
832,,954313.4635555556,968370.2449262044
833,,960741.783923111,967862.3405553043
834,,953113.5296522747,967011.836947841
835,,963100.1557724017,954522.9944257098
836,,961268.7859357743,953660.8739203288
